subject,relation,object
郄门,主治,心痛，心悸，胸痛，心烦，咳血，呕血，衄血，疔疮，癫疾。
郄门,配伍,配大陵止咯血；配曲泽、大陵治心痛；配梁丘、足三里、太冲治神经性呕吐；配内关治急性缺血性心肌损伤。
郄门,刺灸法,直刺０.５～１寸；可灸。
郄门,附注,心包经郄穴。
间使,拼音,Jiānshǐ
间使,定位,在前臂掌侧，当曲泽与大陵的连线上，腕横纹上３寸，掌长肌腱与桡侧腕屈肌腱之间。
间使,解剖,在桡侧腕屈肌腱与掌长肌腱之间，有指浅屈肌，深部为指深屈肌；有前臂正中动、静脉，深层为前臂掌侧骨间动、静脉；布有前臂内侧皮神经，前臂外侧皮神经，其下为正中神经掌皮支，最深层为前臂掌侧骨间神经。
间使,主治,心痛，心悸，胃痛，呕吐，热病，烦躁，疟疾，癫狂，痫证，腋肿，肘挛，臂痛。
间使,配伍,配支沟治疟疾；配尺泽治反胃、呕吐、呃逆；配水沟、太冲治癔病；配腰奇治癫痫。
间使,刺灸法,直刺０.５～１寸；可灸。
间使,附注,心包经经穴。
内关,拼音,Nèiguān
内关,定位,在前臂掌侧，当曲泽与大陵的连线上，腕横纹上２寸，掌长肌腱与桡侧腕屈肌腱之间。
内关,解剖,在桡侧腕屈肌腱与掌长肌腱之间，有指浅屈肌，深层为指深屈肌；有前臂正中动、静脉，深层为前臂掌侧骨间动、静脉；布有前臂内侧皮神经，下为正中神经掌皮支，最深层为前臂掌侧骨间神经。
内关,主治,心痛，心悸，胸痛，胃痛，呕吐，呃逆，失眠，癫狂，痫证，郁证，眩晕，中风，偏瘫，哮喘，偏头痛，热病，产后血晕，肘臂挛痛。
内关,配伍,配公孙治肚痛；配膈俞治胸满支肿；配中脘、足三里治胃脘痛、呕吐、呃逆；配外关、曲池治上肢不遂、手振颤。配患侧悬厘治偏头痛；配建里除胸闷。
内关,刺灸法,直刺０.５～１寸；可灸。
内关,附注,心包经络穴，八脉交会穴～通阴维脉。
大陵,拼音,Dàlíng
大陵,定位,在腕掌横纹的中点处，当掌长肌腱与桡侧腕屈肌腱之间。
大陵,解剖,在掌长肌腱与桡侧腕屈肌腱之间，有拇长屈肌和指深屈肌腱；有腕掌侧动、静脉网；布有前臂内侧皮神经，正中神经掌皮支，深层为正中神经本干。
大陵,主治,心痛，心悸，胃痛，呕吐，惊悸，癫狂，痫证，胸胁痛，腕关节疼痛，喜笑悲恐。
大陵,配伍,配劳宫治心绞痛、失眠；配外关、支沟治腹痛、便秘；配水沟、间使、心俞、丰隆治癫、狂、痫、惊悸。
大陵,刺灸法,直刺０.３～０.５寸；可灸。
大陵,附注,心包经输穴、原穴。
劳宫,拼音,Láogōng
劳宫,定位,在手掌心，当第２、３掌骨之间偏于第３掌骨，握拳屈指的中指尖处。
劳宫,解剖,在第二、三掌骨间，下为掌腱膜，第二蚓状肌及指浅、深屈肌腱，深层为拇指内收肌横头的起端，有骨间肌；有指掌侧总动脉；布有正中神经的第二指掌侧总神经。
劳宫,主治,中风昏迷，中暑，心痛，癫狂，痫证，口疮，口臭，鹅掌风。
劳宫,配伍,配后溪治三消、黄疸；配涌泉治五般痫。
劳宫,刺灸法,直刺０.３～０.５寸；可灸。
劳宫,附注,心包经荥穴。
中冲,拼音,Zhōngchōng
中冲,定位,在手中指末节尖端中央。
中冲,解剖,有指掌侧固有动、静脉所形成的动、静脉网；为正中神经之指掌侧固有神经分布处。
中冲,主治,中风昏迷，舌强不语，中暑，昏厥，小儿惊风，热病，舌下肿痛。
中冲,配伍,配内关、水沟治小儿惊风、中暑、中风昏迷等；配金津、玉液、廉泉治舌强不语、舌本肿痛；配商阳治耳聋时不闻音
中冲,刺灸法,浅刺0.1寸；或用三棱针点刺出血。
中冲,附注,心包经井穴。
关冲,拼音,Guānchōng
关冲,定位,在手环指末节尺侧，距指甲角０.１寸（指寸）。
关冲,解剖,有指掌固有动、静脉形成的动、静脉网；布有来自尺神经的指掌侧固有神经。
关冲,主治,头痛，目赤，耳聋，耳鸣，喉痹，舌强，热病，心烦。
关冲,配伍,配内关、人中治中暑、昏厥。
关冲,刺灸法,浅刺０.１寸，或有三棱针点刺出血；可灸。
关冲,附注,三焦经井穴。
液门,拼音,Yèmén
液门,定位,在手背部，当第４、５指间，指蹼缘后方赤白肉际处。
液门,解剖,有来自尺动脉的指背动脉；布有来自尺神经的手背支。
液门,主治,头痛，目赤，耳痛，耳鸣，耳聋，喉痹，疟疾，手臂痛。
液门,配伍,配鱼际治喉痛。
液门,刺灸法,直刺０.３～０.５寸；可灸。
液门,附注,三焦经荥穴。
中渚,拼音,Zhōngzhǔ
中渚,定位,在手背部，当环指本节（掌指关节）的后方，第４、５掌骨间凹陷处。
中渚,解剖,有第四骨间肌；皮下有手背静脉网及第四掌背动脉；布有来自尺神经的手背支。
中渚,主治,头痛，目眩，目赤，目痛，耳聋，耳鸣，喉痹，肩背肘臂酸痛，手指不能屈伸，脊膂痛，热病。
中渚,配伍,配角孙治耳鸣耳聋；配太白治大便难；配支沟、内庭治嗌痛。
中渚,刺灸法,直刺０.３～０.５寸；可灸。
中渚,附注,三焦经输穴。
阳池,拼音,Yángchí
阳池,定位,在腕背横纹中，当指总伸肌腱的尺侧缘凹陷处。
阳池,解剖,皮下有手背静脉网，第四掌背动脉；布有尺神经手背支及前臂背侧皮神经末支。
阳池,主治,腕痛，肩臂痛，耳聋，疟疾，消渴，口干，喉痹。
阳池,配伍,配合谷、尺泽、曲池、中渚治手臂拘挛。
阳池,刺灸法,直刺０.３～０.５寸；可灸。
阳池,附注,三焦经原穴。
外关,拼音,Wàiguān
外关,定位,在前臂背侧，当阳池与肘尖的连线上，腕背横纹上２寸，尺骨与桡骨之间。
外关,解剖,在桡骨与尺骨之间，指总伸肌与拇长伸肌之间，屈肘俯掌时则在指总伸肌的桡侧；深层有前臂骨间背侧动脉和掌侧动、静脉；布有前臂背侧皮神经，深层有前臂骨间背侧及掌侧神经。
外关,主治,热病，头痛，颊痛，耳聋，耳鸣，目赤肿痛，胁痛，肩背痛，肘臂屈伸不利，手指疼痛，手颤。
外关,配伍,配足临泣治颈项强痛、肩背痛；配大椎、曲池治外感热病；配阳陵泉治胁痛。
外关,刺灸法,直刺０.５～１寸；可灸。
外关,附注,三焦经络穴，八脉交会穴～通阳维脉。
支沟,拼音,Zhīgōu
支沟,定位,在前臂背侧，当阳池与肘尖的连线上，腕背横纹上３寸，尺骨与桡骨之间。
支沟,解剖,在桡骨与尺骨之间，指总伸肌与拇长伸肌之间，屈肘俯掌时则在指总伸肌的桡侧；深层有前臂骨间背侧和掌侧动、静脉；布有前臂背侧皮神经，深层有前臂骨间背侧及掌侧神经。
支沟,主治,暴喑，耳聋，耳鸣，肩背酸痛，胁肋痛，呕吐，便秘，热病。
支沟,配伍,配天枢治大便秘结；配双侧支沟治急性腰扭伤、胁痛。
支沟,刺灸法,直刺０.５～１寸；可灸。
支沟,附注,三焦经经穴。
会宗,拼音,Huìzōng
会宗,定位,在前臂背侧，当腕背横纹上３寸，支沟尺侧，尺骨的桡侧缘。
会宗,解剖,尺骨桡侧缘，在小指固有伸肌和尺侧腕伸肌之间；有前臂骨间背侧动、静脉；布有前臂背侧皮神经，深层有前臂骨间背侧神经和骨间掌侧神经。
会宗,主治,耳聋，痫证，上肢肌肤痛。
会宗,配伍,配听会、耳门治疗耳聋；配大包治上肢肌肉疼痛，软组织挫伤。
会宗,刺灸法,直刺０.５～１寸；可灸。
会宗,附注,三焦经郄穴。
三阳络,拼音,Sānyángluò
三阳络,定位,在前臂背侧，腕背横纹上4寸，尺骨与桡骨之间。
三阳络,解剖,在指总伸肌与拇长展肌起端之间；有前臂骨间背侧动、静脉；布有前臂背侧皮神经，深层为前臂骨间背侧神经。
三阳络,主治,暴喑，耳聋，手臂痛，龋齿痛。
三阳络,配伍,配曲池、合谷、肩井治中风后遗症上肢不遂。
三阳络,刺灸法,直刺０.５～１寸；可灸。
四渎,拼音,Sìdú
四渎,定位,在前臂背侧，当阳池与肘尖的连线上，肘尖下５寸，尺骨与桡骨之间。
四渎,解剖,在指总伸肌和尺侧腕伸肌之间；深层有前臂骨间背侧动、静脉；布有前臂背侧皮神经，深层有前臂骨间背侧神经。
四渎,主治,暴喑，暴聋，齿痛，呼吸气短，咽阻如梗，前臂痛。
四渎,配伍,配三阳络、消泺、肩髎、天髎、肩外俞治肩臂痛；配三阳络、阳溪治手指伸展不利，上肢不遂。
四渎,刺灸法,直刺０.５～１寸；可灸。
天井,拼音,Tiānjǐng
天井,定位,在臂外侧，屈肘时，当肘尖直上１寸凹陷处。
天井,解剖,在肱骨下端后面鹰嘴窝中，有肱三头肌腱；肘关节动、静脉网；布有臂背侧皮神经和桡神经肌支。
天井,主治,偏头痛，胁肋、颈项、肩臂痛，耳聋，瘰疬，瘿气，癫痫。
天井,配伍,配率谷治偏头痛；配天突治瘿气；配臂治瘰疬、瘾疹；配巨阙、心俞治精神恍惚。
天井,刺灸法,直刺０.５～１寸；可灸。
清冷渊,拼音,Qīnglěngyuān
清冷渊,定位,在臂外侧，屈肘时，当肘尖直上２寸，即天井上１寸。
清冷渊,解剖,在肱三头肌下部；有中侧副动、静脉末支；布有臂背侧皮神经及桡神经肌支。
清冷渊,主治,头痛，目黄，肩臂痛不能举。
清冷渊,配伍,配肩髎、天髎、臑俞、养老、合谷治上肢痿、痹、瘫、痛。
清冷渊,刺灸法,直刺０.５～１寸；可灸。
消泺,拼音,Xiāoluò
消泺,定位,在臂外侧，当清冷渊与臑会连线中点处。
消泺,解剖,在肱三头肌肌腹的中间；有中侧副动、静脉；布有臂背侧皮神经及桡神经。
消泺,主治,头痛，颈项强痛，臂痛，齿痛，癫疾。
消泺,配伍,配肩髎、肩髃、臑会、清冷渊治肩臂痛、上肢不遂、肩周炎。
消泺,刺灸法,直刺０.８～１寸；可灸。
臑会,拼音,Nàohuì
臑会,定位,在臂外侧，当肘尖与肩髎的连线上，肩髎下３寸，三角肌的后下缘。
臑会,解剖,在肱三头肌长头与外侧头之间；有中侧副动、静脉；布有臂背侧皮神经，桡神经肌支，深层为桡神经。
臑会,主治,肩臂痛，瘿气，瘰疬，目疾，肩胛肿痛。
臑会,配伍,配肩俞、肩贞治肩周炎；配肘髎、外关治肘臂挛痛。
臑会,刺灸法,直刺０.５～１寸；可灸。
肩髎,拼音,Jiānliáo
肩髎,定位,在肩部，肩髃后方，当臂外展时，于肩峰后下方呈现凹陷处。
肩髎,解剖,在三角肌中；有旋肱后动脉；布有腋神经的肌支。
肩髎,主治,臂痛，肩重不能举。
肩髎,配伍,配天宗、曲垣治疗肩背疼痛；配肩井、天池、养老治上肢不遂、肩周炎。
肩髎,刺灸法,直刺０.５～１寸；可灸。
天髎,拼音,Tiānliáo
天髎,定位,在肩胛部，肩井与曲垣的中间，当肩胛骨上角处。
天髎,解剖,有斜方肌、冈上肌；有颈横动脉降支，深层为肩胛上动脉肌支；布有第一胸神经后支外侧皮支，副神经，深层为肩胛上神经肌支。
天髎,主治,肩臂痛，颈项强痛，胸中烦满。
天髎,配伍,配秉风、天宗、清冷渊、臑会治颈肩综合征、上肢不遂。
天髎,刺灸法,直刺０.５～０.８寸；可灸。
天牖,拼音,Tiānyǒu
天牖,定位,在颈侧部，当乳突的后下方，平下颌角，胸锁乳突肌的后缘。
天牖,解剖,在胸锁乳突肌后缘；有枕动脉的肌支，耳后动、静脉及颈后浅静脉；布有枕小神经本干，深层为副神经，颈神经。
天牖,主治,头晕，头痛，面肿，目昏，暴聋，项强。
天牖,配伍,配外关、率谷、治偏头痛、耳鸣、耳聋、腮腺炎。
天牖,刺灸法,直刺０.８～１寸；可灸。
翳风,拼音,Yīfēng
翳风,定位,在耳垂后方，当乳突与下颌角之间的凹陷处。
翳风,解剖,有耳后动、静脉，颈外浅静脉；布有耳大神经，深部为面神经干从颅骨穿出处。
翳风,主治,耳鸣，耳聋，口眼喎斜，牙关紧闭，颊肿，瘰疬。
翳风,配伍,配地仓、承浆、水沟、合谷治口噤不开。
翳风,刺灸法,直刺０.８～１寸；可灸，勿直接灸。
瘛脉,拼音,Chìmài
瘛脉,定位,在头部，耳后乳突中央，当角孙与翳风之间，沿耳轮连线的中、下１/３的交点处。
瘛脉,解剖,在耳后肌上；有耳后动、静脉；布有耳大神经耳后支。
瘛脉,主治,头痛，耳聋，耳鸣，小儿惊痫，呕吐，泄痢。
瘛脉,配伍,配翳风、耳门、听宫、听会、百会治耳硬化症，提高听力。
瘛脉,刺灸法,平刺０.３～０.５寸，或点刺出血；可灸。
颅息,拼音,Lúxī
颅息,定位,在头部，当角孙与翳风之间，沿耳轮连线的上、中１/３的交点处。
颅息,解剖,有耳后动、静脉；布有耳大神经和枕大神经的吻合支。
颅息,主治,头痛、耳鸣、耳痛、小儿惊痫，呕吐涎沫。
颅息,配伍,配太冲治小儿惊痫、呕吐涎沫、瘈疭；配天冲、脑空、风池、太阳治偏头痛、头风病。
颅息,刺灸法,平刺０.２～０.５寸；可灸。
角孙,拼音,Jiǎosūn
角孙,定位,在头部，折耳廓向前，当耳尖直上入发际处。
角孙,解剖,有耳上肌；颞浅动、静脉耳前支；布有耳颞神经分支。
角孙,主治,耳部肿痛，目赤肿痛，目翳，齿痛，唇燥，项强，头痛。
角孙,配伍,率谷透角孙配足临泣治眩晕。
角孙,刺灸法,平刺０.３～０.５寸；可灸。
耳门,拼音,ěrmén
耳门,定位,在面部，当耳屏上切迹的前方，下颌骨髁状突后缘，张口有凹陷处。
耳门,解剖,有颞浅动、静脉耳前支；布有耳颞神经，面神经分支。
耳门,主治,耳聋，耳鸣，聤耳，齿痛，颈颔痛，唇吻强。
耳门,配伍,配丝竹空治牙痛；配兑端治上齿龋。
耳门,刺灸法,直刺０.５～１寸；可灸。
耳和髎,拼音,ěrhéliáo
耳和髎,定位,在头侧部，当鬓发后缘，平耳廓根之前方，颞浅动脉的后缘。
耳和髎,解剖,有颞肌和颞浅动、静脉；布有耳颞神经分支，面神经颞支。
耳和髎,主治,头重痛，耳鸣，牙关拘急，颔肿，鼻准肿痛，口渴
耳和髎,配伍,配养老、完骨治耳聋。
耳和髎,刺灸法,斜刺０.３～０.５；可灸。
耳和髎,附注,手、足少阳，手太阳的交会穴。
丝竹空,拼音,Sīzhúkōng
丝竹空,定位,在面部，当眉梢凹陷处。
丝竹空,解剖,有眼轮匝肌；颞浅动、静脉额支；布有面神经颧眶支及耳颞神经分支。
丝竹空,主治,头痛，目眩，目赤痛，眼睑跳动，齿痛，癫痫。
丝竹空,配伍,配丝竹空止牙痛。
丝竹空,刺灸法,平刺０.５～１寸。不宜灸。
瞳子髎,拼音,Tóngzǐliáo
瞳子髎,定位,在面部，目外眦旁，当眶外侧缘处。
瞳子髎,解剖,有眼轮匝肌，深层为颞肌；当颧眶动、静脉分布处；布有颧面神经和颧颞神经，面神经的额颞支。
瞳子髎,主治,头痛，目赤，目痛，怕光羞明，迎风流泪，远视不明，内障，目翳。
瞳子髎,配伍,配合谷、临泣、睛明治目生内障；配少泽治妇人乳肿；配养老、肝俞、光明、太冲、治疗视物昏花。
瞳子髎,刺灸法,向后刺或斜刺０.３～０.５寸；或用三棱针点刺出血。
瞳子髎,附注,手太阳，手、足少阳之会。
听会,拼音,Tīnghuì
听会,定位,在面部，当耳屏间切迹的前方，下颌骨髁突的后缘，张口有凹陷处。
听会,解剖,有颞浅动脉耳前支，深部为颈外动脉及面后静脉；布有耳大神经，皮下为面神经。
听会,主治,耳鸣，耳聋，流脓，齿痛，下颌脱臼，口眼喎斜，面痛，头痛。
听会,配伍,配颊车、地仓治中风口眼歪斜；配迎香治耳聋气痞；配耳门、听宫治下颌关节炎。
听会,刺灸法,直刺０.５寸；可灸。
上关,拼音,Shàngguān
上关,定位,在耳前，下关直下，当颧弓的上缘凹陷处。
上关,解剖,在颞肌中；有颧眶动、静脉；布有面神经的颧眶支及三叉神经小分支。
上关,主治,头痛，耳鸣，耳聋，聤耳，口眼喎斜，面痛，齿痛，惊痫，瘛疭。
上关,配伍,配肾俞、翳风、太溪、听会治老年人肾虚耳鸣耳聋；配耳门、合谷、颊车治下颌关节炎、牙关紧闭。
上关,刺灸法,直刺０.５～０.８寸：可灸。
上关,附注,手少阳、足阳明之会。
颔厌,拼音,Hànyàn
颔厌,定位,在头部鬓发上，当头维与曲鬓弧形连线的上四分之一与下四分之三交点处。
颔厌,解剖,在颞肌中；有颞浅动、静脉额支；布有耳颞神经颞支。
颔厌,主治,头痛，眩晕，目外眦痛，齿痛，耳鸣，惊痫。
颔厌,配伍,配悬颅治偏头痛；透悬颅、悬厘，配外关、风池治眩晕。
颔厌,刺灸法,直刺０.３～０.４寸；可灸。
颔厌,附注,手少阳、足阳明之会。
悬颅,拼音,Xuánlu
悬颅,定位,在头部鬓发上，当头维与曲鬓弧形连线的中点处。
悬颅,解剖,在颞肌中；有颞浅动、静脉额支；布有耳颞神经颞支。
悬颅,主治,偏头痛，面肿，目外眦痛，齿痛。
悬颅,配伍,配颔厌、治偏头痛；配曲池、合谷治热病头痛。
悬颅,刺灸法,向后平刺０.５～０.８寸；可灸。
悬厘,拼音,Xuánlí
悬厘,定位,在头部鬓发上，当头维与曲鬓弧形连线的上四分之三与下四分之一交点处。
悬厘,解剖,在颞肌中；有颞浅动、静脉额支；布有耳颞神经颞支。
悬厘,主治,偏头痛，面肿，目外眦痛，耳鸣，上齿痛。
悬厘,配伍,配鸠尾治热病偏头痛引目外眦；配束骨治癫痫。
悬厘,刺灸法,向后平刺０.５～０.８寸；可灸。
悬厘,附注,手、足少阳，阳明之会。
曲鬓,拼音,Qūbìn
曲鬓,定位,在头部，当耳前鬓角发际后缘的垂线与耳尖水平线交点处。
曲鬓,解剖,在颞肌中；有颞浅动、静脉额支；布有耳颞神经颞支。
曲鬓,主治,偏头痛，颔颊肿，牙关紧闭，呕吐，齿痛，目赤肿痛，项强不得顾。
曲鬓,配伍,配风池、太冲治目赤肿痛；配下关、合谷、太冲治疗头痛、口噤不开。
曲鬓,刺灸法,向后平刺０.５～０.８寸；可灸。
曲鬓,附注,足太阳、少阳之会。
率谷,拼音,Shuàigǔ
率谷,定位,在头部，当耳尖直上入发际１.５寸，角孙直上方。
率谷,解剖,在颞肌中；有颞动、静脉顶支；布有耳颞神经和枕大神经会合支。
率谷,主治,头痛，眩晕，呕吐，小儿惊风。
率谷,配伍,配印堂、太冲、合谷治小儿急慢惊风、眩晕、耳鸣；配合谷、足三里治流行性腮腺炎。
率谷,刺灸法,平刺０.５～１寸；可灸。
率谷,附注,足太阳、少阳之会。
天冲,拼音,Tiānchōng
天冲,定位,在头部，当耳根后缘直上入发际２寸，率谷后０.５寸。
天冲,解剖,有耳后动、静脉；布有耳大神经支。
天冲,主治,头痛，齿龈肿痛，癫痫，惊恐，瘿气。
天冲,配伍,配目窗、风池治头痛。
天冲,刺灸法,平刺０.５～１寸；可灸。
天冲,附注,足太阳、少阳之会。
浮白,拼音,Fúbái
浮白,定位,在头部，当耳后乳突的后上方，天冲与完骨的弧形连线的中三分之一与上三分之一交点处。
浮白,解剖,有耳后动、静脉分支；布有耳大神经之分支。
浮白,主治,头痛，颈项强痛，耳鸣，耳聋，齿痛，瘰疬，瘿气，臂痛不举，足痿不行。
浮白,配伍,配风池、行间治偏头痛、目赤肿痛；配听会、中渚治耳鸣、耳聋；配肾俞、太溪、耳门治耳鸣、耳聋。
浮白,刺灸法,平刺０.５～０.８寸；可灸。
浮白,附注,足太阳、少阳之会。
头窍阴,拼音,Tóuqiàoyīn
头窍阴,定位,在头部，当耳后乳突的后上方，天冲与完骨的弧形连线的中三分之一与下三分之一交点处。
头窍阴,解剖,有耳后动、静脉之支；布有枕大神经和枕小神经会合支。
头窍阴,主治,头痛，眩晕，颈项强痛，胸胁痛，口苦，耳鸣，耳聋，耳痛。
头窍阴,配伍,配强间治头痛；配只支沟、太冲、风池治肝胆火盛之偏头痛或巅顶痛。
头窍阴,刺灸法,平刺０.５～０.８寸；可灸。
头窍阴,附注,足太阳、少阳之会。
完骨,拼音,Wángǔ
完骨,定位,在头部，当耳后乳突的后下方凹陷处。
完骨,解剖,在胸锁乳突肌附着部上方，有耳后动、静脉之支；布有枕小神经本干。
完骨,主治,头痛，颈项强痛，颊肿，喉痹，龋齿，口眼歪斜，癫痫，疟疾。
完骨,配伍,配风池、大杼治疟疾；配风池治癫疾僵仆；配风池、合谷治风热上犯喉痹、齿痛、痄腮、口歪。
完骨,刺灸法,斜刺０.５～０.８寸；可灸。
完骨,附注,足太阳、少阳之会。
本神,拼音,Běnshén
本神,定位,在头部，当前发际上０.５寸，神庭旁开３寸，神庭与头维连线的内三分之二与外三分之一交点处。
本神,解剖,在额肌中；有颞浅动、静脉额支和额动、静脉外侧支；布有额神经外侧支。
本神,主治,头痛，目眩，癫痫，小儿惊风，颈项强痛，胸胁痛，半身不遂。
本神,配伍,配前顶、囟会、天柱治小儿惊痫；配水沟、太阳、合谷、大椎、天柱、百会治中风不省人事、小儿惊风。
本神,刺灸法,平刺０.５～０.８寸；可灸。
本神,附注,足太阳、阳维之会。
阳白,拼音,Yángbái
阳白,定位,在前额部，当瞳孔直上，眉上１寸。
阳白,解剖,在额肌中；有额动、静脉外侧支；布有额神经外侧支。
阳白,主治,头痛，目眩，目痛，外眦疼痛，雀目。
阳白,配伍,配太阳、睛明、鱼腰治目赤肿痛、视物昏花、上睑下垂。
阳白,刺灸法,平刺０.５～０.８寸；可灸。
阳白,附注,足太阳、阳维之会。
头临泣,拼音,Tóulínqì
头临泣,定位,在头部，当瞳孔直上入前发际０.５寸，神庭与头维连线的中点处。
头临泣,解剖,在额肌中；有额动、静脉；布有额神经内、外支会合支。
头临泣,主治,头痛，目眩，目赤痛，流泪，目翳，鼻塞，鼻渊，耳聋，小儿惊痫，热病。
头临泣,配伍,配阳谷、腕骨、申脉治风眩；配肝俞治白翳；配大椎、腰奇、水沟、十宣治中风昏迷癫痫；配大椎、间使、胆俞、肝俞治疟疾。
头临泣,刺灸法,平刺０.５～０.８寸；可灸。
头临泣,附注,足太阳、少阳、阳维之会。
目窗,拼音,Mùchuāng
目窗,定位,在头部，当前发际上１.５寸，头正中线旁开２.２５寸。
目窗,解剖,在帽状腱膜中；有颞浅动、静脉额支；布有额神经内、外侧支会合支。
目窗,主治,头痛，目眩，目赤肿痛，远视，近视，面浮肿，上齿龋肿，小儿惊痫。
目窗,配伍,配关冲、风池治头疼；配陷谷治面目浮肿。
目窗,刺灸法,平刺０.５～０.８寸。可灸。
目窗,附注,足少阳、阳维之会。
正营,拼音,Zhèngyíng
正营,定位,在头部，当前发际上２.５寸，头正中线旁开２.２５寸。
正营,解剖,在帽状腱膜中；有颞浅动、静脉顶支和枕动、静脉吻合网；布有额神经和枕大神经的会合支。
正营,主治,头痛，头晕，目眩，唇吻强急，齿痛。
正营,配伍,配阳白、太冲、风池治疗头痛、眩晕、目赤肿痛。
正营,刺灸法,平刺０.５～０.８寸；可灸。
正营,附注,足少阳、阳维之会。
承灵,拼音,Chénglíng
承灵,定位,在头部，当前发际上４寸，头正中线旁开２.２５寸。
承灵,解剖,在帽状腱膜中；有枕动、静脉分支；布有枕大神经之支。
承灵,主治,头晕，眩晕，目痛，鼻渊，鼻衄，鼻窒，多涕。
承灵,配伍,配风池、风门、后溪治鼻衄。
承灵,刺灸法,平刺０.５～０.８寸；可灸。
承灵,附注,足少阳、阳维之会。
脑空,拼音,Nǎokōng
脑空,定位,在头部，当枕外隆凸的上缘外侧，头正中线旁开２.２５寸，平脑户。
脑空,解剖,在枕肌中；有枕动、静脉分支；布有枕大神经之支。
脑空,主治,头痛，颈项强痛，目眩，目赤肿痛，鼻痛，耳聋，癫痫，惊悸，热病。
脑空,配伍,配大椎、照海、申脉治癫狂痫证；配风池、印堂、太冲治头痛、目眩；配悬钟、后溪治颈项强痛。
脑空,刺灸法,平刺０.５～０.８寸；可灸。
脑空,附注,足少阳、阳维之会。
风池,拼音,Fēngchí
风池,定位,在项部，当枕骨之下，与风府相平，胸锁乳突肌与斜方肌上端之间的凹陷处。
风池,解剖,在胸锁乳突肌与斜方肌上端附着部之间的凹陷中，深层为头夹肌；有枕动、静脉分支；布有枕小神经之支。
风池,主治,头痛，眩晕，颈项强痛，目赤痛，目泪出，鼻渊，鼻衄，耳聋，气闭，中风，口眼歪斜，疟疾，热病，感冒，瘿气。
风池,配伍,配合谷、丝竹空治偏正头痛；配脑户、玉枕、风府、上星治目痛不能视；配百会、太冲、水沟、足三里、十宣治中风。
风池,刺灸法,针尖微下，向鼻尖方向斜刺０.５～０.８寸，或平刺透风府穴；可灸。
风池,附注,足少阳、阳维之会。
肩井,拼音,Jiānjǐng
肩井,定位,在肩上，前直乳中，当大椎与肩峰端连线的中点上。
肩井,解剖,有斜方肌，深层为肩胛提肌与冈上肌；有颈横动、静脉分支；布有腋神经分支，深层上方为桡神经。
肩井,主治,肩背痹痛，手臂不举，颈项强痛，乳痈，中风，瘰疬，难产，诸虚百损。
肩井,配伍,配足三里、阳陵泉治脚气酸痛；治疗乳腺炎特效穴。
肩井,刺灸法,直刺０.５～０.８寸，深部正当肺尖，慎不可深刺；可灸。
肩井,附注,足少阳、阳维之会。
渊腋,拼音,Yuānyè
渊腋,定位,在侧胸部，举臂，当腋中线上，腋下３寸，第４肋间隙中。
渊腋,解剖,有前锯肌和肋间内、外肌；有胸腹壁静脉，胸外侧动、静脉及第四肋间动、静脉；布有第四肋间神经外侧皮支，胸长神经之支。
渊腋,主治,胸满，肋痛，腋下肿，臂痛不举。
渊腋,配伍,配大包、支沟治胸肋痛、肋间神经痛。配条口透承山、天宗、臑俞治肩关节周围炎。
渊腋,刺灸法,斜刺０.５～０.８寸。
辄筋,拼音,Zhéjīn
辄筋,定位,在侧胸部，渊腋前１寸，平乳头，第４肋间隙中。
辄筋,解剖,在胸大肌外缘，有前锯肌，肋间内、外肌；有胸外侧动、静脉；布有第四肋间神经外侧皮支。
辄筋,主治,胸肋痛，喘息，呕吐，吞酸，腋肿，肩臂痛。
辄筋,配伍,配肺俞、定喘治胸闷喘息不得卧；配阳陵泉、支沟治胸胁痛。
辄筋,刺灸法,斜刺０.５～０.８寸；可灸。
日月,拼音,Rìyuè
日月,定位,在上腹部，当乳头直下，第７肋间隙，前正中线旁开４寸。
日月,解剖,有肋间内、外肌，肋下缘有腹外斜肌腱膜，腹内斜肌，腹横肌；有肋间动、静脉；布有第七或第八肋间神经。
日月,主治,胁肋疼痛，胀满，呕吐，吞酸，呃逆，黄疸。
日月,配伍,配胆俞治胆虚；配内关、中脘治呕吐、纳呆；配期门、阳陵泉治胆石症；配支沟、丘墟治胁胀痛；配胆俞、腕骨治黄疸。
日月,刺灸法,斜刺０.５～０.８寸；可灸。
日月,附注,足太阴、少阳之会。胆经募穴。
京门,拼音,Jīngmén
京门,定位,在侧腰部，章门后１.８寸，当十二肋骨游离端的下方。
京门,解剖,有腹内、外斜肌及腹横肌；有第十一肋间动、静脉；布有第十一肋间神经。
京门,主治,肠鸣，泄泻，腹胀，腰胁痛。
京门,配伍,配行间治腰痛不可久立仰俯；配身柱、筋缩、命门治脊强脊痛。
京门,刺灸法,斜刺０.５～０.８寸；可灸。
京门,附注,肾经募穴。
带脉,拼音,Dàimài
带脉,定位,在侧腹部，章门下１.８寸，当第１２肋骨游离端下方垂线与脐水平线的交点上。
带脉,解剖,有腹内、外斜肌及腹横肌；有第十二肋间动、静脉；布有第十二肋间神经。
带脉,主治,月经不调，赤白带下，疝气，腰胁痛。
带脉,配伍,配关元、气海、三阴交、白环俞、间使治赤白带下；配关元、足三里、肾俞、京门、次髎治肾气虚带下；配中极、次髎、行间、三阴交治湿热下注之带下。
带脉,刺灸法,直刺０.５～０.８寸；可灸。
